"Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"Global","Global",160813869,2060.04956737655,5126313,65.668831572523,717513,3339002,42.7731119731311,87839,1.12523064754315,13043,"Not applicable"
"United States of America","Americas",32496486,9817.59,285669,86.3,35437,578257,174.7,4535,1.37,747,"Community transmission"
"India","South-East Asia",24046809,1742.52,2555211,185.16,343144,262317,19.01,28234,2.05,4000,"Clusters of cases"
"Brazil","Americas",15359397,7225.93,429214,201.93,76692,428034,201.37,13635,6.41,2494,"Community transmission"
"France","Europe",5747161,8836.44,109417,168.23,19134,106493,163.74,1360,2.09,160,"Community transmission"
"Turkey","Europe",5083996,6028.04,106014,125.7,11534,44059,52.24,1872,2.22,238,"Community transmission"
"Russian Federation","Europe",4922901,3373.36,59387,40.69,9462,115116,78.88,2494,1.71,393,"Clusters of cases"
"The United Kingdom","Europe",4444635,6547.2,16078,23.68,2656,127651,188.04,68,0.1,11,"Community transmission"
"Italy","Europe",4139160,6940.07,56962,95.51,8082,123745,207.48,1482,2.48,201,"Clusters of cases"
"Spain","Europe",3592751,7590.43,28146,59.46,0,79208,167.34,206,0.44,0,"Community transmission"
"Germany","Europe",3577040,4301.05,85052,102.27,11336,85848,103.22,1438,1.73,190,"Community transmission"
"Argentina","Americas",3215572,7114.76,144076,318.78,24475,68807,152.24,2942,6.51,496,"Community transmission"
"Colombia","Americas",3048719,5991.64,114108,224.26,16993,79261,155.77,3246,6.38,490,"Community transmission"
"Poland","Europe",2849014,7505.67,24589,64.78,3252,71311,187.87,1866,4.92,290,"Community transmission"
"Iran (Islamic Republic of)","Eastern Mediterranean",2722007,3240.76,111989,133.33,14246,76231,90.76,2325,2.77,297,"Community transmission"
"Mexico","Americas",2371483,1839.32,15498,12.02,3090,219590,170.31,1583,1.23,267,"Community transmission"
"Ukraine","Europe",2143448,4901.13,38020,86.94,7562,47620,108.89,1790,4.09,287,"Community transmission"
"Peru","Americas",1865639,5658.28,41182,124.9,7400,64898,196.83,1922,5.83,207,"Community transmission"
"Indonesia","South-East Asia",1731652,633.09,34347,12.56,3448,47716,17.44,1220,0.45,99,"Community transmission"
"Czechia","Europe",1651178,15440.32,8482,79.32,1231,29857,279.2,249,2.33,32,"Community transmission"
"South Africa","Africa",1605252,2706.61,14882,25.09,3221,55012,92.76,392,0.66,44,"Community transmission"
"Netherlands","Europe",1583767,9098.14,45485,261.29,6088,17413,100.03,146,0.84,14,"Community transmission"
"Canada","Americas",1305770,3459.71,48442,128.35,6198,24766,65.62,316,0.84,52,"Community transmission"
"Chile","Americas",1266601,6625.8,37353,195.4,6153,27520,143.96,625,3.27,136,"Community transmission"
"Iraq","Eastern Mediterranean",1132092,2814.57,33905,84.29,4512,15883,39.49,210,0.52,28,"Community transmission"
"Philippines","Western Pacific",1124724,1026.39,44572,40.67,6385,18821,17.18,830,0.76,107,"Community transmission"
"Romania","Europe",1069770,5534.58,7243,37.47,953,29308,151.63,598,3.09,75,"Community transmission"
"Sweden","Europe",1027934,9953.28,25909,250.87,0,14267,138.14,25,0.24,0,"Community transmission"
"Belgium","Europe",1026473,8908.47,13525,117.38,2,24645,213.89,163,1.41,4,"Community transmission"
"Pakistan","Eastern Mediterranean",870703,394.18,24870,11.26,3265,19336,8.75,799,0.36,126,"Community transmission"
"Portugal","Europe",840929,8167.6,2454,23.83,436,16999,165.1,11,0.11,1,"Clusters of cases"
"Israel","Europe",839076,9694.09,286,3.3,34,6379,73.7,8,0.09,0,"Community transmission"
"Hungary","Europe",796390,8151.78,7202,73.72,1190,29041,297.26,638,6.53,71,"Community transmission"
"Bangladesh","South-East Asia",778687,472.82,9527,5.78,1290,12076,7.33,280,0.17,31,"Community transmission"
"Jordan","Eastern Mediterranean",722754,7083.65,4824,47.28,418,9203,90.2,189,1.85,23,"Community transmission"
"Serbia","Europe",704398,10169.31,7157,103.32,901,6629,95.7,130,1.88,18,"Community transmission"
"Switzerland","Europe",674138,7789.34,5997,69.29,0,10080,116.47,17,0.2,0,"Community transmission"
"Japan","Western Pacific",665547,526.22,44553,35.23,6918,11255,8.9,666,0.53,90,"Clusters of cases"
"Austria","Europe",630993,7088.96,7560,84.93,1100,10181,114.38,108,1.21,11,"Community transmission"
"United Arab Emirates","Eastern Mediterranean",542158,5481.66,11214,113.38,1512,1623,16.41,19,0.19,4,"Clusters of cases"
"Lebanon","Eastern Mediterranean",534968,7837.85,3734,54.71,580,7569,110.89,154,2.26,20,"Community transmission"
"Morocco","Eastern Mediterranean",514670,1394.37,1654,4.48,238,9091,24.63,42,0.11,3,"Community transmission"
"Malaysia","Western Pacific",458077,1415.3,30150,93.15,4855,1788,5.52,178,0.55,27,"Community transmission"
"Nepal","South-East Asia",431191,1479.88,62611,214.89,8842,4466,15.33,937,3.22,214,"Clusters of cases"
"Saudi Arabia","Eastern Mediterranean",430505,1236.59,7099,20.39,1116,7122,20.46,90,0.26,11,"Community transmission"
"Bulgaria","Europe",413320,5945.78,4948,71.18,506,17194,247.34,394,5.67,44,"Clusters of cases"
"Ecuador","Americas",405783,2299.96,10456,59.26,1151,19442,110.2,424,2.4,93,"Community transmission"
"Kazakhstan","Europe",404348,2153.46,10590,56.4,0,4760,25.35,218,1.16,0,"Clusters of cases"
"Slovakia","Europe",387162,7093.64,2140,39.21,294,12168,222.94,222,4.07,33,"Clusters of cases"
"Belarus","Europe",372242,3939.35,7291,77.16,837,2671,28.27,69,0.73,10,"Community transmission"
"Greece","Europe",371712,3467.93,16267,151.76,2158,11266,105.11,419,3.91,55,"Community transmission"
"Panama","Americas",368930,8550.4,2955,68.49,562,6285,145.66,33,0.76,3,"Community transmission"
"Croatia","Europe",349084,8602.02,6597,162.56,926,7664,188.85,276,6.8,41,"Community transmission"
"occupied Palestinian territory, including east Jerusalem","Eastern Mediterranean",332111,6510.18,2883,56.51,0,3669,71.92,75,1.47,0,"Community transmission"
"Azerbaijan","Europe",328668,3241.57,3983,39.28,509,4742,46.77,107,1.06,16,"Clusters of cases"
"Georgia","Europe",327831,8218.02,8565,214.71,1390,4397,110.22,152,3.81,18,"Community transmission"
"Bolivia (Plurinational State of)","Americas",324868,2783.07,12461,106.75,2290,13345,114.32,222,1.9,37,"Community transmission"
"Tunisia","Eastern Mediterranean",324823,2748.4,7813,66.11,720,11693,98.94,485,4.1,56,"Community transmission"
"Paraguay","Americas",304889,4274.62,15915,223.13,2828,7358,103.16,560,7.85,74,"Community transmission"
"Kuwait","Eastern Mediterranean",289243,6772.94,7471,174.94,1059,1674,39.2,53,1.24,5,"Community transmission"
"Costa Rica","Americas",276887,5435.43,16352,321,3173,3482,68.35,156,3.06,26,"Community transmission"
"Dominican Republic","Americas",274319,2528.77,5135,47.34,822,3560,32.82,46,0.42,6,"Community transmission"
"Ethiopia","Africa",264960,230.47,4158,3.62,593,3951,3.44,129,0.11,13,"Community transmission"
"Denmark","Europe",263514,4525.58,7032,120.77,1355,2499,42.92,6,0.1,0,"Community transmission"
"Lithuania","Europe",263475,9429.72,8091,289.58,1140,4084,146.17,65,2.33,13,"Community transmission"
"Ireland","Europe",254450,5125.45,2976,59.95,437,4937,99.45,16,0.32,0,"Community transmission"
"Republic of Moldova","Europe",253386,6281.32,1233,30.57,213,5995,148.61,83,2.06,14,"Community transmission"
"Slovenia","Europe",248047,11835.09,3491,166.57,597,4629,220.86,13,0.62,0,"Clusters of cases"
"Egypt","Eastern Mediterranean",242120,236.6,8105,7.92,1193,14150,13.83,436,0.43,59,"Clusters of cases"
"Guatemala","Americas",237682,1326.68,5243,29.27,0,7815,43.62,138,0.77,0,"Community transmission"
"Uruguay","Americas",228102,6566.49,18235,524.94,2255,3252,93.62,334,9.62,44,"Community transmission"
"Honduras","Americas",222992,2251.4,6028,60.86,874,5853,59.09,414,4.18,64,"Community transmission"
"Armenia","Europe",220447,7439.41,1766,59.6,230,4301,145.15,92,3.1,10,"Community transmission"
"Qatar","Eastern Mediterranean",212423,7373.1,2953,102.5,299,522,18.12,29,1.01,3,"Community transmission"
"Venezuela (Bolivarian Republic of)","Americas",210948,741.84,8190,28.8,832,2337,8.22,111,0.39,17,"Community transmission"
"Oman","Eastern Mediterranean",202713,3969.61,3369,65.97,0,2148,42.06,65,1.27,0,"Community transmission"
"Bosnia and Herzegovina","Europe",202003,6157.1,1650,50.29,207,8958,273.04,196,5.97,15,"Community transmission"
"Bahrain","Eastern Mediterranean",196105,11524.91,11408,670.44,1816,715,42.02,45,2.64,10,"Community transmission"
"Libya","Eastern Mediterranean",181179,2636.75,1986,28.9,234,3085,44.9,26,0.38,3,"Community transmission"
"Nigeria","Africa",165612,80.34,299,0.15,53,2066,1,1,0,0,"Community transmission"
"Kenya","Africa",164720,306.33,2622,4.88,334,2968,5.52,118,0.22,18,"Community transmission"
"North Macedonia","Europe",154494,7415.55,1033,49.58,122,5168,248.06,126,6.05,17,"Clusters of cases"
"Myanmar","South-East Asia",143004,262.83,101,0.19,7,3212,5.9,2,0,1,"Clusters of cases"
"Puerto Rico","Americas",135871,4749.32,2025,70.78,102,2412,84.31,64,2.24,17,"Community transmission"
"Sri Lanka","South-East Asia",135796,634.17,16372,76.46,3269,892,4.17,147,0.69,24,"Clusters of cases"
"Albania","Europe",131890,4583.01,380,13.2,45,2426,84.3,20,0.69,3,"Clusters of cases"
"Republic of Korea","Western Pacific",130380,254.3,4336,8.46,747,1893,3.69,33,0.06,2,"Clusters of cases"
"Estonia","Europe",126642,9529.29,2113,158.99,278,1217,91.57,24,1.81,5,"Clusters of cases"
"Latvia","Europe",126387,6625.19,4878,255.7,698,2240,117.42,62,3.25,17,"Community transmission"
"Algeria","Africa",124889,284.8,1416,3.23,207,3355,7.65,48,0.11,5,"Community transmission"
"Cuba","Americas",120561,1064.4,7847,69.28,1186,778,6.87,77,0.68,10,"Community transmission"
"Norway","Europe",117955,2197.55,3050,56.82,461,774,14.42,7,0.13,0,"Clusters of cases"
"Kosovo[1]","Europe",106711,5942.7,732,40.76,103,2208,122.96,20,1.11,1,"Community transmission"
"China","Western Pacific",103937,7.06,178,0.01,35,4858,0.33,0,0,0,"Clusters of cases"
"Kyrgyzstan","Europe",99845,1530.38,2182,33.44,200,1687,25.86,44,0.67,6,"Clusters of cases"
"Montenegro","Europe",98443,15674.09,212,33.75,0,1545,245.99,11,1.75,0,"Clusters of cases"
"Uzbekistan","Europe",96117,287.18,2520,7.53,291,667,1.99,7,0.02,0,"Clusters of cases"
"Thailand","South-East Asia",96050,137.61,17195,24.63,2256,548,0.79,185,0.27,30,"Clusters of cases"
"Ghana","Africa",93159,299.81,331,1.07,34,783,2.52,0,0,0,"Community transmission"
"Zambia","Africa",92262,501.86,316,1.72,51,1260,6.85,4,0.02,1,"Community transmission"
"Finland","Europe",89270,1615.66,1192,21.57,0,930,16.83,11,0.2,0,"Community transmission"
"Cameroon","Africa",74733,281.52,0,0,0,1144,4.31,0,0,0,"Community transmission"
"El Salvador","Americas",70915,1093.32,918,14.15,535,2173,33.5,30,0.46,5,"Community transmission"
"Cyprus","Europe",70571,7947.14,2129,239.75,213,342,38.51,14,1.58,1,"Clusters of cases"
"Mozambique","Africa",70315,224.97,207,0.66,28,826,2.64,7,0.02,0,"Community transmission"
"Luxembourg","Europe",68748,10980.21,728,116.27,0,806,128.73,5,0.8,0,"Community transmission"
"Afghanistan","Eastern Mediterranean",63355,162.75,1900,4.88,310,2730,7.01,57,0.15,9,"Community transmission"
"Singapore","Western Pacific",61453,1050.42,167,2.85,34,31,0.53,0,0,0,"Sporadic cases"
"Botswana","Africa",51538,2191.59,3121,132.72,2497,751,31.94,17,0.72,0,"Community transmission"
"Namibia","Africa",50733,1996.65,1273,50.1,218,704,27.71,30,1.18,2,"Community transmission"
"Mongolia","Western Pacific",47033,1434.68,4569,139.37,585,193,5.89,51,1.56,9,"Clusters of cases"
"Jamaica","Americas",47020,1587.89,682,23.03,98,834,28.16,36,1.22,14,"Community transmission"
"Côte d’Ivoire","Africa",46520,176.36,289,1.1,4,294,1.11,3,0.01,2,"Community transmission"
"Uganda","Africa",42578,93.08,426,0.93,91,346,0.76,1,0,0,"Community transmission"
"Maldives","South-East Asia",41308,7641.93,7940,1468.89,1216,87,16.09,10,1.85,0,"Clusters of cases"
"Senegal","Africa",40790,243.61,212,1.27,28,1122,6.7,6,0.04,1,"Community transmission"
"Madagascar","Africa",39759,143.58,1422,5.14,249,745,2.69,50,0.18,7,"Community transmission"
"Zimbabwe","Africa",38491,258.97,93,0.63,25,1582,10.64,7,0.05,3,"Community transmission"
"Sudan","Eastern Mediterranean",34889,79.57,137,0.31,0,2446,5.58,10,0.02,0,"Clusters of cases"
"Malawi","Africa",34200,178.78,49,0.26,14,1153,6.03,1,0.01,0,"Community transmission"
"Democratic Republic of the Congo","Africa",30478,34.03,277,0.31,49,775,0.87,5,0.01,0,"Community transmission"
"Malta","Europe",30473,5922.1,53,10.3,4,417,81.04,1,0.19,0,"Clusters of cases"
"Australia","Western Pacific",29955,117.47,69,0.27,8,910,3.57,0,0,0,"Clusters of cases"
"Angola","Africa",29695,90.35,1774,5.4,290,649,1.97,27,0.08,4,"Community transmission"
"Cabo Verde","Africa",27386,4925.65,1860,334.54,357,243,43.71,13,2.34,5,"Community transmission"
"Rwanda","Africa",25934,200.23,448,3.46,88,342,2.64,4,0.03,2,"Community transmission"
"Gabon","Africa",23734,1066.34,533,23.95,0,143,6.42,3,0.13,0,"Community transmission"
"Syrian Arab Republic","Eastern Mediterranean",23595,134.82,404,2.31,52,1682,9.61,51,0.29,6,"Community transmission"
"Guinea","Africa",22707,172.9,154,1.17,0,151,1.15,2,0.02,0,"Community transmission"
"Réunion","Africa",22644,2529.17,1193,133.25,0,169,18.88,19,2.12,0,"Community transmission"
"French Guiana","Americas",21433,7175.86,1207,404.11,327,108,36.16,4,1.34,0,"Community transmission"
"Cambodia","Western Pacific",21141,126.45,2962,17.72,0,142,0.85,28,0.17,0,"Sporadic cases"
"Mayotte","Africa",20176,7395.49,42,15.4,0,171,62.68,1,0.37,0,"Community transmission"
"French Polynesia","Western Pacific",18797,6691.51,21,7.48,0,141,50.19,0,0,0,"Sporadic cases"
"Mauritania","Africa",18767,403.62,191,4.11,22,457,9.83,1,0.02,0,"Community transmission"
"Eswatini","Africa",18497,1594.34,24,2.07,5,671,57.84,0,0,0,"Community transmission"
"Guadeloupe","Americas",15429,3856.05,795,198.69,0,236,58.98,8,2,0,"Community transmission"
"Guyana","Americas",14659,1863.7,830,105.52,128,331,42.08,23,2.92,0,"Community transmission"
"Somalia","Eastern Mediterranean",14486,91.15,118,0.74,0,753,4.74,8,0.05,0,"Community transmission"
"Trinidad and Tobago","Americas",14417,1030.16,2312,165.2,615,235,16.79,46,3.29,11,"Community transmission"
"Mali","Africa",14149,69.87,120,0.59,0,508,2.51,15,0.07,1,"Community transmission"
"Tajikistan","Europe",13714,143.79,0,0,0,91,0.95,0,0,0,"Pending"
"Papua New Guinea","Western Pacific",13707,153.2,1824,20.39,284,136,1.52,15,0.17,3,"Community transmission"
"Andorra","Europe",13470,17433.51,107,138.48,0,127,164.37,0,0,0,"Community transmission"
"Burkina Faso","Africa",13391,64.06,46,0.22,4,164,0.78,3,0.01,0,"Community transmission"
"Haiti","Americas",13268,116.36,104,0.91,13,269,2.36,6,0.05,1,"Community transmission"
"Togo","Africa",13238,159.9,148,1.79,28,125,1.51,1,0.01,0,"Community transmission"
"Belize","Americas",12707,3195.7,27,6.79,3,323,81.23,0,0,0,"Community transmission"
"Curaçao","Americas",12236,7456.75,18,10.97,0,117,71.3,4,2.44,0,"Community transmission"
"Martinique","Americas",11490,3061.84,351,93.53,0,87,23.18,8,2.13,0,"Community transmission"
"Suriname","Americas",11427,1947.9,731,124.61,121,220,37.5,8,1.36,0,"Clusters of cases"
"Djibouti","Eastern Mediterranean",11387,1152.53,80,8.1,0,151,15.28,3,0.3,0,"Community transmission"
"Congo","Africa",11343,205.56,196,3.55,0,148,2.68,0,0,0,"Community transmission"
"Bahamas","Americas",11024,2803.35,313,79.59,58,216,54.93,5,1.27,1,"Clusters of cases"
"Aruba","Americas",10795,10110.9,74,69.31,0,104,97.41,4,3.75,0,"Community transmission"
"Lesotho","Africa",10778,503.12,29,1.35,0,320,14.94,1,0.05,0,"Community transmission"
"South Sudan","Africa",10641,95.06,21,0.19,0,115,1.03,-1,-0.01,0,"Community transmission"
"Seychelles","Africa",9184,9338.36,2373,2412.88,1012,30,30.5,2,2.03,2,"Community transmission"
"Benin","Africa",7984,65.86,100,0.82,0,101,0.83,1,0.01,0,"Community transmission"
"Guam","Western Pacific",7835,4642.28,36,21.33,1,139,82.36,0,0,0,"Clusters of cases"
"Equatorial Guinea","Africa",7694,548.4,0,0,0,112,7.98,0,0,0,"Community transmission"
"Central African Republic","Africa",6866,142.16,192,3.98,0,95,1.97,2,0.04,0,"Community transmission"
"Iceland","Europe",6526,1792.2,26,7.14,0,29,7.96,0,0,0,"Community transmission"
"Yemen","Eastern Mediterranean",6511,21.83,81,0.27,9,1279,4.29,13,0.04,1,"Community transmission"
"Gambia","Africa",5940,245.79,15,0.62,6,175,7.24,0,0,0,"Community transmission"
"Nicaragua","Americas",5649,85.27,74,1.12,0,184,2.78,1,0.02,0,"Community transmission"
"Niger","Africa",5326,22,17,0.07,1,192,0.79,0,0,0,"Community transmission"
"San Marino","Europe",5087,14989.1,8,23.57,0,90,265.19,0,0,0,"Community transmission"
"Chad","Africa",4891,29.78,37,0.23,0,172,1.05,2,0.01,0,"Community transmission"
"Saint Lucia","Americas",4725,2573.15,123,66.98,25,75,40.84,0,0,0,"Community transmission"
"Gibraltar","Europe",4286,12721.5,0,0,0,94,279.01,0,0,0,"Clusters of cases"
"Burundi","Africa",4282,36.01,150,1.26,21,6,0.05,0,0,0,"Community transmission"
"Sierra Leone","Africa",4096,51.35,28,0.35,6,79,0.99,0,0,0,"Community transmission"
"Barbados","Americas",3957,1376.95,42,14.62,7,46,16.01,1,0.35,1,"Community transmission"
"Comoros","Africa",3930,451.93,8,0.92,0,146,16.79,0,0,0,"Community transmission"
"Timor-Leste","South-East Asia",3879,294.21,1009,76.53,253,8,0.61,4,0.3,3,"Clusters of cases"
"Eritrea","Africa",3822,107.77,88,2.48,0,12,0.34,0,0,0,"Community transmission"
"Guinea-Bissau","Africa",3743,190.19,5,0.25,2,67,3.4,0,0,0,"Community transmission"
"Viet Nam","Western Pacific",3740,3.84,649,0.67,82,35,0.04,0,0,0,"Clusters of cases"
"United States Virgin Islands","Americas",3256,3118.03,78,74.69,20,27,25.86,0,0,0,"Community transmission"
"Jersey","Europe",3236,3001.97,2,1.86,0,69,64.01,0,0,0,"Community transmission"
"Liechtenstein","Europe",3072,7928.36,16,41.29,0,57,147.11,0,0,0,"Sporadic cases"
"Monaco","Europe",2490,6344.92,15,38.22,3,32,81.54,0,0,0,"Sporadic cases"
"Bermuda","Americas",2461,3951.95,32,51.39,6,31,49.78,1,1.61,0,"Community transmission"
"Turks and Caicos Islands","Americas",2404,6209,4,10.33,0,17,43.91,0,0,0,"Clusters of cases"
"Sao Tome and Principe","Africa",2320,1058.59,3,1.37,0,35,15.97,0,0,0,"Community transmission"
"New Zealand","Western Pacific",2289,47.47,11,0.23,1,26,0.54,0,0,0,"Sporadic cases"
"Sint Maarten","Americas",2268,5288.93,21,48.97,0,27,62.96,0,0,0,"Community transmission"
"Liberia","Africa",2125,42.02,12,0.24,0,85,1.68,0,0,0,"Community transmission"
"Saint Vincent and the Grenadines","Americas",1928,1737.88,39,35.15,6,12,10.82,0,0,0,"Community transmission"
"Saint Martin","Americas",1777,4596.6,28,72.43,0,14,36.21,0,0,0,"Community transmission"
"Isle of Man","Europe",1590,1869.88,0,0,0,29,34.1,0,0,0,"No cases"
"Bonaire","Americas",1557,7444.42,16,76.5,0,17,81.28,1,4.78,0,"Community transmission"
"Lao People's Democratic Republic","Western Pacific",1482,20.37,305,4.19,65,1,0.01,1,0.01,0,"Sporadic cases"
"Mauritius","Africa",1288,101.28,47,3.7,0,17,1.34,0,0,0,"Clusters of cases"
"Bhutan","South-East Asia",1263,163.68,102,13.22,6,1,0.13,0,0,0,"Clusters of cases"
"Antigua and Barbuda","Americas",1240,1266.22,4,4.08,0,32,32.68,0,0,0,"Clusters of cases"
"Saint Barthélemy","Americas",994,10055.64,6,60.7,0,1,10.12,0,0,0,"Clusters of cases"
"Guernsey","Europe",822,1275.05,0,0,0,14,21.72,0,0,0,"Community transmission"
"Other","Other",746,NA,0,NA,0,13,NA,0,NA,0,"Not applicable"
"Faroe Islands","Europe",669,1369.08,1,2.05,0,1,2.05,0,0,0,"Sporadic cases"
"Cayman Islands","Americas",560,852.1,15,22.82,12,2,3.04,0,0,0,"Sporadic cases"
"United Republic of Tanzania","Africa",509,0.85,0,0,0,21,0.04,0,0,0,"Pending"
"Wallis and Futuna","Western Pacific",454,4036.99,0,0,0,7,62.24,0,0,0,"Sporadic cases"
"Brunei Darussalam","Western Pacific",232,53.03,3,0.69,1,3,0.69,0,0,0,"Clusters of cases"
"British Virgin Islands","Americas",219,724.28,3,9.92,0,1,3.31,0,0,0,"Clusters of cases"
"Dominica","Americas",178,247.25,4,5.56,3,0,0,0,0,0,"Clusters of cases"
"Northern Mariana Islands (Commonwealth of the)","Western Pacific",170,295.36,2,3.47,0,2,3.47,0,0,0,"Pending"
"Fiji","Western Pacific",165,18.41,36,4.02,4,4,0.45,1,0.11,1,"Sporadic cases"
"Grenada","Americas",161,143.08,0,0,0,1,0.89,0,0,0,"Sporadic cases"
"New Caledonia","Western Pacific",124,43.43,0,0,0,0,0,0,0,0,"Sporadic cases"
"Anguilla","Americas",109,726.57,14,93.32,0,0,0,0,0,0,"Clusters of cases"
"Falkland Islands (Malvinas)","Americas",63,1808.79,0,0,0,0,0,0,0,0,"Sporadic cases"
"Saint Kitts and Nevis","Americas",45,84.6,0,0,0,0,0,0,0,0,"Sporadic cases"
"Greenland","Europe",31,54.6,0,0,0,0,0,0,0,0,"No cases"
"Holy See","Europe",26,3213.84,0,0,0,0,0,0,0,0,"Sporadic cases"
"Saint Pierre and Miquelon","Americas",25,431.41,0,0,0,0,0,0,0,0,"Sporadic cases"
"Montserrat","Americas",20,400.08,0,0,0,1,20,0,0,0,"No cases"
"Sint Eustatius","Americas",20,637.15,0,0,0,0,0,0,0,0,"No cases"
"Solomon Islands","Western Pacific",20,2.91,0,0,0,0,0,0,0,0,"No cases"
"Saba","Americas",7,362.13,0,0,0,0,0,0,0,0,"Sporadic cases"
"Marshall Islands","Western Pacific",4,6.76,0,0,0,0,0,0,0,0,"No cases"
"Vanuatu","Western Pacific",3,0.98,0,0,0,0,0,0,0,0,"No cases"
"Samoa","Western Pacific",1,0.5,0,0,0,0,0,0,0,0,"No cases"
"American Samoa","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Cook Islands","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Democratic People's Republic of Korea","South-East Asia",0,0,0,0,0,0,0,0,0,0,"No cases"
"Kiribati","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Micronesia (Federated States of)","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Nauru","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Niue","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Palau","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Pitcairn Islands","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Saint Helena","Africa",0,0,0,0,0,0,0,0,0,0,"No cases"
"Tokelau","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Tonga","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Turkmenistan","Europe",0,0,0,0,0,0,0,0,0,0,"No cases"
"Tuvalu","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
